PriorityRank,customerID,ChurnProbability,RiskTier,CustomerSegment,tenure,MonthlyCharges,Contract,PaymentMethod,InternetService,TechSupport,LifecycleStage,SharedDriver,CustomerValue,RevenueAtRisk,ExpectedSavedRevenue,CampaignCost,ExpectedNetBenefit,DominantRiskDriver,SecondaryLever,RecommendedRetentionAction
11,2027-FECZV,0.7068,High Risk,New High-Spend,12,106.7,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1280.4,904.98672,271.496016,15.0,256.496016,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
12,3992-YWPKO,0.686,High Risk,New High-Spend,6,109.9,Month-to-month,Credit card (automatic),Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1318.8000000000002,904.6968000000002,271.40904000000006,15.0,256.40904000000006,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
13,3178-FESZO,0.7481,High Risk,New High-Spend,1,100.25,Month-to-month,Credit card (automatic),Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1203.0,899.9643,269.98929,15.0,254.98928999999998,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
14,4587-VVTOX,0.7118,High Risk,New High-Spend,6,105.3,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1263.6,899.4304799999999,269.8291439999999,15.0,254.82914399999993,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
15,2081-VEYEH,0.6923,High Risk,New High-Spend,3,107.95,Month-to-month,Electronic check,Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1295.4,896.8054200000001,269.041626,15.0,254.041626,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
16,9681-OXGVC,0.7425,High Risk,New High-Spend,5,100.5,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1206.0,895.455,268.6365,15.0,253.6365,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
17,6023-YEBUP,0.7377,High Risk,New High-Spend,3,100.95,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1211.4,893.6497800000001,268.094934,15.0,253.09493400000002,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
18,8884-ADFVN,0.7267,High Risk,New High-Spend,7,101.95,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1223.4,889.0447800000001,266.713434,15.0,251.713434,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
19,7145-FEJWU,0.7014,High Risk,New High-Spend,12,105.3,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1263.6,886.28904,265.886712,15.0,250.886712,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
20,2656-TABEH,0.7369,High Risk,New High-Spend,4,100.2,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1202.4,886.0485600000001,265.814568,15.0,250.814568,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
21,9221-OTIVJ,0.7036,High Risk,New High-Spend,14,104.85,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1258.1999999999998,885.2695199999998,265.5808559999999,15.0,250.58085599999993,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
22,3292-PBZEJ,0.6609,High Risk,Established High-Value,11,111.4,Month-to-month,Electronic check,Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1336.8000000000002,883.4911200000001,265.04733600000003,15.0,250.04733600000003,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
23,4822-RVYBB,0.7308,High Risk,New High-Spend,8,100.6,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1207.1999999999998,882.2217599999999,264.66652799999997,15.0,249.66652799999997,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
24,6688-UZPWD,0.7202,High Risk,New High-Spend,11,102.0,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1224.0,881.5247999999999,264.45743999999996,15.0,249.45743999999996,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
25,0781-LKXBR,0.7283,High Risk,New High-Spend,9,100.5,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1206.0,878.3298,263.49894,15.0,248.49894,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
26,3902-FOIGH,0.7218,High Risk,New High-Spend,12,101.35,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1216.1999999999998,877.8531599999999,263.35594799999996,15.0,248.35594799999996,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
27,4078-SAYYN,0.7243,High Risk,New High-Spend,11,100.75,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1209.0,875.6787,262.70361,15.0,247.70361000000003,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
28,5178-LMXOP,0.7667,High Risk,New High-Spend,1,95.1,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1141.1999999999998,874.9580399999999,262.48741199999995,15.0,247.48741199999995,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
29,6734-GMPVK,0.692,High Risk,New High-Spend,5,105.3,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1263.6,874.4111999999999,262.32336,15.0,247.32335999999998,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
30,0295-PPHDO,0.7633,High Risk,New High-Spend,1,95.45,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1145.4,874.28382,262.285146,15.0,247.285146,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
31,2968-SSGAA,0.7241,High Risk,New High-Spend,10,100.6,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1207.1999999999998,874.1335199999999,262.2400559999999,15.0,247.24005599999992,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
32,5299-SJCZT,0.7161,High Risk,New High-Spend,3,101.55,Month-to-month,Bank transfer (automatic),Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1218.6,872.6394599999999,261.7918379999999,15.0,246.79183799999993,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
33,9305-CDSKC,0.7297,High Risk,New High-Spend,8,99.65,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1195.8000000000002,872.5752600000002,261.77257800000007,15.0,246.77257800000007,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
34,2012-NWRPA,0.7287,High Risk,New High-Spend,11,99.55,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1194.6,870.50502,261.151506,15.0,246.15150599999998,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
35,4910-GMJOT,0.764,High Risk,New High-Spend,1,94.6,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1135.1999999999998,867.2927999999998,260.18783999999994,15.0,245.18783999999994,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
36,0702-PGIBZ,0.7101,High Risk,New High-Spend,4,101.7,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1220.4,866.60604,259.981812,15.0,244.981812,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
37,9300-AGZNL,0.7663,High Risk,New High-Spend,1,94.0,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1128.0,864.3864,259.31592,15.0,244.31592,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
38,5760-IFJOZ,0.6662,High Risk,New High-Spend,3,107.95,Month-to-month,Mailed check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1295.4,862.99548,258.898644,15.0,243.898644,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
39,9497-QCMMS,0.7657,High Risk,New High-Spend,1,93.55,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1122.6,859.5748199999999,257.87244599999997,15.0,242.87244599999997,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
40,7450-NWRTR,0.7201,High Risk,New High-Spend,12,99.45,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1193.4,859.36734,257.810202,15.0,242.810202,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
41,8149-RSOUN,0.763,High Risk,New High-Spend,1,93.85,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1126.1999999999998,859.2905999999999,257.78718,15.0,242.78717999999998,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
42,6861-XWTWQ,0.7202,High Risk,New High-Spend,7,99.25,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1191.0,857.7582,257.32746,15.0,242.32745999999997,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
43,3811-VBYBZ,0.7154,High Risk,New High-Spend,7,99.8,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1197.6,856.7630399999999,257.028912,15.0,242.028912,Service quality,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
44,9057-SIHCH,0.7376,High Risk,New High-Spend,3,96.6,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1159.1999999999998,855.0259199999999,256.507776,15.0,241.50777599999998,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
45,1455-UGQVH,0.7222,High Risk,New High-Spend,10,98.5,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1182.0,853.6404,256.09211999999997,15.0,241.09211999999997,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
46,6108-OQZDQ,0.7262,High Risk,New High-Spend,4,97.95,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1175.4,853.57548,256.07264399999997,15.0,241.07264399999997,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
47,5293-WXJAK,0.6833,High Risk,New High-Spend,11,104.05,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1248.6,853.16838,255.95051399999997,15.0,240.95051399999997,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
48,0897-FEGMU,0.7124,High Risk,New High-Spend,11,99.5,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1194.0,850.6056000000001,255.18168000000003,15.0,240.18168000000003,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
49,2369-UAPKZ,0.6807,High Risk,New High-Spend,5,104.1,Month-to-month,Mailed check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1249.1999999999998,850.3304399999998,255.09913199999994,15.0,240.09913199999994,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
50,2446-BEGGB,0.7209,High Risk,New High-Spend,6,98.25,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1179.0,849.9411,254.98233,15.0,239.98233,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
51,6521-YYTYI,0.7587,High Risk,New High-Spend,1,93.3,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1119.6,849.44052,254.832156,15.0,239.832156,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
52,7851-WZEKY,0.7433,High Risk,New High-Spend,2,95.15,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1141.8000000000002,848.6999400000001,254.609982,15.0,239.609982,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
53,5419-CONWX,0.7077,High Risk,New High-Spend,4,99.8,Month-to-month,Credit card (automatic),Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1197.6,847.5415199999999,254.26245599999996,15.0,239.26245599999996,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
54,1393-IMKZG,0.7353,High Risk,New High-Spend,1,95.85,Month-to-month,Electronic check,Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1150.1999999999998,845.7420599999998,253.72261799999993,15.0,238.72261799999993,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
55,6210-KBBPI,0.7079,High Risk,New High-Spend,9,99.45,Month-to-month,Credit card (automatic),Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1193.4,844.80786,253.44235799999998,15.0,238.44235799999998,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
56,0680-DFNNY,0.6963,High Risk,New High-Spend,15,101.1,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1213.1999999999998,844.7511599999999,253.42534799999996,15.0,238.42534799999996,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
57,8098-LLAZX,0.7373,High Risk,New High-Spend,4,95.45,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1145.4,844.50342,253.351026,15.0,238.351026,Service quality,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
58,6615-NGGZJ,0.6987,High Risk,New High-Spend,14,100.55,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1206.6,843.0514199999999,252.91542599999997,15.0,237.91542599999997,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
59,6356-ELRKD,0.7341,High Risk,New High-Spend,1,95.6,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1147.1999999999998,842.1595199999998,252.64785599999993,15.0,237.64785599999993,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
60,1465-VINDH,0.6868,High Risk,New High-Spend,10,102.1,Month-to-month,Credit card (automatic),Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1225.1999999999998,841.4673599999999,252.44020799999996,15.0,237.44020799999996,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
61,3049-SOLAY,0.7354,High Risk,New High-Spend,3,95.2,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1142.4,840.1209600000001,252.036288,15.0,237.036288,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
62,4132-KALRO,0.6937,High Risk,New High-Spend,4,100.85,Month-to-month,Mailed check,Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1210.1999999999998,839.5157399999998,251.85472199999992,15.0,236.85472199999992,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
63,5150-ITWWB,0.7372,High Risk,New High-Spend,3,94.85,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1138.1999999999998,839.0810399999998,251.72431199999994,15.0,236.72431199999994,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
64,7234-FECYN,0.6896,High Risk,New High-Spend,8,101.35,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1216.1999999999998,838.6915199999999,251.60745599999996,15.0,236.60745599999996,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
65,4424-TKOPW,0.7447,High Risk,New High-Spend,2,93.85,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1126.1999999999998,838.6811399999999,251.60434199999997,15.0,236.60434199999997,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
66,3621-CEOVK,0.6973,High Risk,New High-Spend,14,100.2,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1202.4,838.43352,251.530056,15.0,236.530056,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
67,3158-MOERK,0.7275,High Risk,New High-Spend,2,96.0,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1152.0,838.08,251.424,15.0,236.424,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
68,0754-UKWQP,0.7264,High Risk,New High-Spend,2,95.85,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1150.1999999999998,835.50528,250.65158399999999,15.0,235.65158399999999,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
69,1374-DMZUI,0.7383,High Risk,New High-Spend,4,94.3,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1131.6,835.4602799999999,250.63808399999996,15.0,235.63808399999996,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
70,0684-AOSIH,0.7316,High Risk,New High-Spend,1,95.0,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1140.0,834.024,250.2072,15.0,235.2072,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
71,2720-WGKHP,0.7388,High Risk,New High-Spend,2,94.0,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1128.0,833.3664,250.00992,15.0,235.00992,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
72,6857-VWJDT,0.7259,High Risk,New High-Spend,1,95.65,Month-to-month,Mailed check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1147.8000000000002,833.1880200000002,249.95640600000004,15.0,234.95640600000004,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
73,0655-RBDUG,0.7077,High Risk,New High-Spend,7,98.05,Month-to-month,Bank transfer (automatic),Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1176.6,832.67982,249.80394599999997,15.0,234.80394599999997,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
74,3988-RQIXO,0.7599,High Risk,New High-Spend,1,91.3,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1095.6,832.54644,249.76393199999998,15.0,234.76393199999998,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
75,5567-WSELE,0.7333,High Risk,New High-Spend,3,94.6,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1135.1999999999998,832.4421599999998,249.73264799999993,15.0,234.73264799999993,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
76,8510-AWCXC,0.6878,High Risk,New High-Spend,13,100.8,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1209.6,831.9628799999999,249.58886399999997,15.0,234.58886399999997,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
77,7089-IVVAZ,0.6696,High Risk,New High-Spend,8,103.35,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1240.1999999999998,830.4379199999998,249.13137599999993,15.0,234.13137599999993,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
78,9223-UCPVT,0.733,High Risk,New High-Spend,1,94.4,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1132.8000000000002,830.3424000000001,249.10272000000003,15.0,234.10272000000003,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
79,4445-ZJNMU,0.6967,High Risk,New High-Spend,9,99.3,Month-to-month,Credit card (automatic),Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1191.6,830.1877199999999,249.05631599999995,15.0,234.05631599999995,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
80,3319-DWOEP,0.722,High Risk,New High-Spend,6,95.75,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1149.0,829.578,248.87339999999998,15.0,233.87339999999998,Service quality,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
81,0871-URUWO,0.6758,High Risk,New High-Spend,13,102.25,Month-to-month,Credit card (automatic),Fiber optic,No,Established (13+ months),Month-to-month contract,1227.0,829.2066,248.76198,15.0,233.76198,Service quality,Price and plan fit,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
82,7938-OUHIO,0.6992,High Risk,New High-Spend,3,98.7,Month-to-month,Electronic check,Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1184.4,828.1324800000001,248.43974400000002,15.0,233.43974400000002,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
83,2754-SDJRD,0.6886,High Risk,New High-Spend,8,100.15,Month-to-month,Credit card (automatic),Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1201.8000000000002,827.5594800000001,248.26784400000003,15.0,233.26784400000003,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
84,0365-BZUWY,0.6723,High Risk,New High-Spend,17,102.55,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1230.6,827.33238,248.19971399999997,15.0,233.19971399999997,Billing and payment,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Move to automatic payment with a billing reward
